fips,state,name,pop2000,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,pop2016,pop2017,age_under_5_2010,age_under_5_2017,age_under_18_2010,age_over_65_2010,age_over_65_2017,median_age_2017,female_2010,white_2010,black_2010,black_2017,native_2010,native_2017,asian_2010,asian_2017,pac_isl_2010,pac_isl_2017,other_single_race_2017,two_plus_races_2010,two_plus_races_2017,hispanic_2010,hispanic_2017,white_not_hispanic_2010,white_not_hispanic_2017,speak_english_only_2017,no_move_in_one_plus_year_2010,foreign_born_2010,foreign_spoken_at_home_2010,women_16_to_50_birth_rate_2017,hs_grad_2010,hs_grad_2016,hs_grad_2017,some_college_2016,some_college_2017,bachelors_2010,bachelors_2016,bachelors_2017,veterans_2010,veterans_2017,mean_work_travel_2010,mean_work_travel_2017,broadband_2017,computer_2017,housing_units_2010,homeownership_2010,housing_multi_unit_2010,median_val_owner_occupied_2010,households_2010,households_2017,persons_per_household_2010,persons_per_household_2017,per_capita_income_2010,per_capita_income_2017,metro_2013,median_household_income_2010,median_household_income_2016,median_household_income_2017,private_nonfarm_establishments_2009,private_nonfarm_employment_2009,percent_change_private_nonfarm_employment_2009,nonemployment_establishments_2009,firms_2007,black_owned_firms_2007,native_owned_firms_2007,asian_owned_firms_2007,pac_isl_owned_firms_2007,hispanic_owned_firms_2007,women_owned_firms_2007,manufacturer_shipments_2007,mercent_whole_sales_2007,sales_2007,sales_per_capita_2007,accommodation_food_service_2007,building_permits_2010,fed_spending_2009,area_2010,density_2010,smoking_ban_2010,poverty_2010,poverty_2016,poverty_2017,poverty_age_under_5_2017,poverty_age_under_18_2017,civilian_labor_force_2007,employed_2007,unemployed_2007,unemployment_rate_2007,civilian_labor_force_2008,employed_2008,unemployed_2008,unemployment_rate_2008,civilian_labor_force_2009,employed_2009,unemployed_2009,unemployment_rate_2009,civilian_labor_force_2010,employed_2010,unemployed_2010,unemployment_rate_2010,civilian_labor_force_2011,employed_2011,unemployed_2011,unemployment_rate_2011,civilian_labor_force_2012,employed_2012,unemployed_2012,unemployment_rate_2012,civilian_labor_force_2013,employed_2013,unemployed_2013,unemployment_rate_2013,civilian_labor_force_2014,employed_2014,unemployed_2014,unemployment_rate_2014,civilian_labor_force_2015,employed_2015,unemployed_2015,unemployment_rate_2015,civilian_labor_force_2016,employed_2016,unemployed_2016,unemployment_rate_2016,uninsured_2017,uninsured_age_under_6_2017,uninsured_age_under_19_2017,uninsured_age_over_74_2017,civilian_labor_force_2017,employed_2017,unemployed_2017,unemployment_rate_2017,age_over_18_2019,age_over_65_2019,age_over_85_2019,age_under_5_2019,asian_2019,avg_family_size_2019,bachelors_2019,black_2019,hispanic_2019,household_has_broadband_2019,household_has_computer_2019,household_has_smartphone_2019,households_2019,households_speak_asian_or_pac_isl_2019,households_speak_limited_english_2019,households_speak_other_2019,households_speak_other_indo_euro_lang_2019,households_speak_spanish_2019,housing_mobile_homes_2019,housing_one_unit_structures_2019,housing_two_unit_structures_2019,hs_grad_2019,mean_household_income_2019,mean_work_travel_2019,median_age_2019,median_household_income_2019,median_individual_income_2019,median_individual_income_age_25plus_2019,native_2019,other_single_race_2019,pac_isl_2019,per_capita_income_2019,persons_per_household_2019,pop_2019,poverty_2019,poverty_65_and_over_2019,poverty_under_18_2019,two_plus_races_2019,unemployment_rate_2019,uninsured_2019,uninsured_65_and_older_2019,uninsured_under_19_2019,uninsured_under_6_2019,veterans_2019,white_2019,white_not_hispanic_2019
42021,Pennsylvania,Cambria County,152598,143679,142561,141518,138749,137386,135854,134313,133054,5,4.9,19.7,18.8,20.9,45,50.6,94.1,3.6,1.66,0.1,0.02,0.5,0.25,NA,0.01,0.14,1.2,1.03,1.4,1.54,93.3,93.01,97.3,88.8,1.5,3.4,5.2,87.6,90.4,90.8,24.7,24.9,17.5,20.2,20.9,15608,10.4,22.3,24.1,71.8,79.1,65650,73.8,16.1,86000,58802,57154,2.33,2.24,21278,26091.07,1,39574,43614,44943,3439,50616,-1.6,6537,9667,1,NA,1.5,NA,NA,24,1439815,582513,1626462,11212,155969,117,2544973,688.35,208.7,partial,13.7,15.6,15.6,30.6,24.9,68335,64702,3633,5.32,69579,65313,4266,6.13,69068,63172,5896,8.54,66749,60459,6290,9.42,66182,60428,5754,8.69,65981,60185,5796,8.78,64644,59005,5639,8.72,63007,58607,4400,6.98,62331,58242,4089,6.56,61359,57192,4167,6.79,5.6,3.6,2.6,0.1,59765,56138,3627,6.07,80.7,22,3.4,5,0.4,2.8,21.1,3.5,1.6,76.2,69.3,65.5,56674,0.3,0.3,0.3,1.6,1.4,25.9,3.9,74.1,92,60457,24.4,45.4,46659,25590,34035,0,0.4,0,26008,2.23,133009,15.4,8.8,25.3,2.1,5.4,4.2,0.2,2.5,3.6,10,93.5,92.7
42025,Pennsylvania,Carbon County,58802,65249,65091,64810,64548,64259,63758,63515,63853,5.3,4.6,20.8,17.8,19.7,45.7,50.7,95.8,1.5,0.91,0.2,0.02,0.5,0.23,NA,0.01,0.18,1.2,0.57,3.3,4.26,93.7,92.42,96.2,89.9,2.6,4.3,4.6,86.7,89.2,89.6,26.5,27.3,14.6,16,16,6558,10.5,31.1,31.9,74.4,83.5,34299,80.2,8.8,139800,26111,25978,2.45,2.43,22956,25551.85,1,47744,51021,51236,1140,13577,-5.9,3319,5149,2,NA,NA,NA,NA,28.1,514283,35793,483916,7661,104719,149,497620,381.46,171.1,partial,10.5,13.1,12.8,28.5,22.2,31081,29413,1668,5.37,31601,29475,2126,6.73,31454,28281,3173,10.09,31792,28427,3365,10.58,31879,28676,3203,10.05,32315,29083,3232,10,32230,29228,3002,9.31,31594,29352,2242,7.1,31454,29549,1905,6.06,31570,29689,1881,5.96,6.5,2.1,2.9,0,31500,29747,1753,5.57,80.6,20.7,2.8,4.6,0.6,2.93,17.9,2.3,4.8,79.9,72.9,71.7,26043,0.4,1,0,2.9,2.8,24.2,3.8,75.8,89.4,70428,NA,46.2,57006,29134,38573,0.2,0.4,0,29202,2.42,63887,11.7,8.1,19.4,0.8,6.2,4.2,0.1,2.1,3,10.1,95.7,91.7
42027,Pennsylvania,Centre County,135758,153990,155039,155909,158298,159637,160553,162083,162660,4.4,4.1,15.9,11.3,12.9,31.3,48.2,89.4,3,1.99,0.1,0.06,5.2,3.01,0,0.02,0.25,1.5,0.79,2.4,2.84,87.9,85.79,88.8,71.1,6.6,9.2,3.7,92.6,93.30000000000001,93.5,19.8,19.3,40,42.4,43.7,9870,6.1,19.3,20.4,81,90.1,63297,60.1,29.6,175800,54971,57710,2.41,2.48,23744,30240.73,1,47016,59070,56466,3180,42376,-9.4,8782,11078,0.8,NA,2,NA,0.9,25.5,1216463,572296,1604290,11134,240050,426,1316768,1109.92,138.7,partial,18.5,17,18.4,13.4,11.9,73700,71112,2588,3.51,75538,72293,3245,4.3,75320,70944,4376,5.81,77337,72738,4599,5.95,77398,73197,4201,5.43,77565,73311,4254,5.48,78021,73911,4110,5.27,77636,74299,3337,4.3,77805,74712,3093,3.98,78955,75660,3295,4.17,5.9,6,5.5,0,78636,75729,2907,3.7,85,13.8,1.8,3.9,6.1,2.95,45.5,3.8,2.9,82.1,85.2,79.1,58201,5.1,2.1,1,5.1,2.5,38.5,4.3,61.5,94.3,80941,20.4,32.3,60403,26079,40929,0.1,0.6,0,30753,2.46,161960,18.2,4.4,10.7,1.8,3.9,5.6,0.4,6.5,7.6,5.8,87.6,85.4
42029,Pennsylvania,Chester County,433501,498886,503404,506283,509388,512864,515226,516489,519293,6.2,5.6,24.9,12.8,15,40.3,50.9,85.5,6.1,2.93,0.2,0.06,3.9,2.44,NA,0.01,0.6,1.8,1.06,6.5,7.24,82.1,80.23,87.9,88.5,8.3,11.4,5,92.5,92.9,92.9,20.2,19.9,47.8,50.2,51,33394,6.6,27.9,27.9,86.2,91.2,192462,77.1,18.4,334300,181136,188613,2.63,2.65,41251,46758.87,1,84741,92551,92417,13860,231960,22,37430,49835,2.3,NA,2.8,NA,1.4,26.5,6753001,8571403,11338422,23255,783220,1112,4383451,750.51,664.7,none,6.2,7,6.9,9.3,7.9,267222,258865,8357,3.13,274238,263491,10747,3.92,268122,251383,16739,6.24,269534,252693,16841,6.25,270047,254455,15592,5.77,272976,257623,15353,5.62,273546,259098,14448,5.28,273880,262490,11390,4.16,277062,266506,10556,3.81,280415,269548,10867,3.88,6.5,5.2,5.1,0.3,281136,271053,10083,3.59,77.1,15.9,2.1,5.6,5.5,3.14,53,5.9,7.4,88.8,86.6,79.6,190980,2.8,2,0.5,5,5,25,2.4,75,93.6,135669,28.6,40.4,100214,43323,57770,0.1,1.5,0,50927,2.65,519560,6.4,4.9,7.3,2.3,3.7,5.3,0.4,4.5,4.6,6.3,84.8,7
42031,Pennsylvania,Clarion County,41765,39988,39890,39445,39037,38861,38821,38558,38458,5.1,5,19.4,16.4,18.3,41.3,51.6,97.2,1.2,0.58,0.1,0.09,0.5,0.27,NA,0.02,0.07,0.8,0.57,0.6,0.8,96.8,96.25,95.9,83.9,0.9,2.8,5.6,87.2,88.5,89,21.5,21.3,17.2,20.9,21.8,3634,9.1,21.1,22.5,73.7,81.4,19962,71.3,13.2,97800,15742,15925,2.43,2.35,20259,24022.98,0,40028,44670,44373,970,11228,-11.3,2576,3460,NA,NA,NA,NA,NA,NA,586557,287384,421097,10563,51159,47,348244,600.83,66.6,partial,15.8,15.2,17.5,24.7,23,20286,19319,967,4.77,20835,19537,1298,6.23,20658,18702,1956,9.47,19574,17571,2003,10.23,19104,17208,1896,9.92,19001,17296,1705,8.97,18681,17167,1514,8.1,18439,17283,1156,6.27,18269,17177,1092,5.98,18031,16922,1109,6.15,8.3,10.1,9.2,0.3,17723,16722,1001,5.65,81.1,19.1,2.2,5.1,0.6,2.88,22.1,1.4,1,76.9,73.2,67.8,16021,0.6,0.4,0,2.1,0.8,30.9,10.1,69.1,90.1,60001,23.8,41.5,46680,24572,33969,0.1,0.1,0.1,25157,2.34,38715,16.3,9.9,20.2,1.4,5.1,7.5,0.2,11.1,11.5,8.7,96.4,96
42033,Pennsylvania,Clearfield County,83382,81642,81364,81349,81378,80947,80651,80035,79685,5,4.6,20,17.5,19.2,44.2,48.4,95.4,2.3,1.37,0.1,0.1,0.5,0.29,NA,0,0.13,0.9,0.5,2.3,2.89,94.4,93.13,95.6,88.1,0.9,3.2,4.1,86,87.10000000000001,86.8,23.1,23,12.3,13.2,14.1,8555,9.6,24.2,24.4,68.2,78,38644,76.7,10.7,82900,32823,31152,2.37,2.41,20142,23348.96,0,37130,46173,45188,1973,24774,-7,4356,5353,NA,NA,NA,NA,NA,26.1,NA,NA,1150136,13875,88010,124,700815,1144.72,71.3,partial,14.7,14.1,15.3,30,23.8,40780,38551,2229,5.47,40775,38038,2737,6.71,40730,36674,4056,9.96,38076,34101,3975,10.44,38041,34474,3567,9.38,38232,34657,3575,9.35,37793,34383,3410,9.02,36700,34052,2648,7.22,36412,33990,2422,6.65,36318,33672,2646,7.29,7.6,3.6,4.9,0.3,35854,33714,2140,5.97,81.4,20.1,2.7,4.7,0.5,2.9,15.1,2.9,3,72.9,69.6,64.6,31248,0.3,0.2,0,1.4,0.9,23.2,11.7,76.8,87.2,60829,NA,45,49015,24994,32366,0.2,0.3,0,24403,2.38,79908,14.6,8.8,24.2,1.4,5.8,5.1,0.3,4.6,4.4,9.4,94.7,93
42035,Pennsylvania,Clinton County,37914,39238,39471,39696,39798,39456,39367,38985,38998,5.6,5.4,20.7,16.2,17.6,38.5,51,96.5,1.6,0.76,0.1,0.07,0.5,0.35,NA,0.01,0.12,0.8,0.57,1.1,1.42,95.9,95.3,94,82.2,1.4,4.4,5.4,85.6,87.6,87.7,24.1,23.5,16.7,17.5,18,3818,9.4,23.6,22.6,71.9,81.7,19080,72.5,16.1,98400,15238,14675,2.38,2.55,19261,23111.37,0,39354,46742,47990,731,10699,2,1777,2479,NA,NA,NA,NA,NA,24.6,1214979,NA,520692,14025,43233,31,329100,887.98,44.2,comprehensive,15.5,17.8,17.2,34.7,24.2,19149,18145,1004,5.24,19460,18258,1202,6.18,19338,17629,1709,8.84,18749,16987,1762,9.4,19180,17575,1605,8.37,19461,17741,1720,8.84,19289,17545,1744,9.04,18968,17585,1383,7.29,18762,17470,1292,6.89,18560,17247,1313,7.07,9.5,15.8,13,0,18317,17182,1135,6.2,79.8,18.3,2.9,5.3,0.8,3.12,19.5,1.8,1.5,76.7,73.5,67.7,14690,0.7,0.9,0.2,3.4,1.3,29.8,7.8,70.2,89.3,64851,NA,38.6,50923,25229,35824,0.3,0.2,0,25794,2.54,38915,15.5,9.8,18.1,0.7,5,7.1,0.3,9.9,10.7,9.3,96.2,95.2
42037,Pennsylvania,Columbia County,64151,67295,67056,67033,67193,67108,66688,66152,65932,4.8,4.6,18.7,16.1,17.9,40.5,52,95.4,1.9,0.92,0.1,0.06,0.8,0.58,NA,0.02,0.37,1.1,0.51,2,2.59,94.4,93.42,97,86,1.9,3.2,3.3,86.7,89,89.7,23,23.5,18.3,21.4,21.6,6003,8,20.9,22.3,73.4,81.6,29498,71.5,16.8,118800,25884,26564,2.41,2.34,22403,26931.62,1,42788,48821,48395,1438,21687,-12.9,3198,4929,NA,NA,NA,NA,NA,25.1,NA,109948,826209,12752,90614,123,498759,483.11,139.3,none,13.7,13.5,15.9,22.5,17.8,35206,33429,1777,5.05,36409,34273,2136,5.87,36446,33328,3118,8.56,34736,31496,3240,9.33,34786,31779,3007,8.64,35512,32550,2962,8.34,35337,32620,2717,7.69,34233,32105,2128,6.22,33735,31827,1908,5.66,33905,32028,1877,5.54,5.4,2.8,2.9,0,33804,32039,1765,5.22,82.3,18.9,2.6,4.5,1.1,2.88,22.9,1.8,2.8,77.7,72.6,69.3,26372,0.5,0.4,0.4,1.8,1.3,30.8,8.1,69.2,90.3,65648,NA,41,50550,27199,36721,0.1,0.7,0,26787,2.32,65715,15,9.7,17.9,1.1,4.4,4.4,0.3,3.3,3.7,7.6,95.1,93.2
42039,Pennsylvania,Crawford County,90366,88765,88188,87754,87579,87293,86701,86505,86159,5.7,5.4,22.4,16.6,18.9,42.8,51.2,96.3,1.7,0.97,0.2,0.03,0.5,0.21,NA,0.01,0.15,1.1,0.79,0.9,1.2,95.7,95.06,94,86.4,1.2,5.7,5.9,85.8,88.30000000000001,88.3,22.8,22.3,18.3,20.6,20.4,8558,9.7,21,22,72.9,81.4,44686,74,12.8,97900,35456,35102,2.42,2.38,20383,25627.31,0,38924,45388,47179,2108,26249,-8.6,5455,6868,NA,NA,NA,NA,NA,21.5,1632637,146718,877346,9859,90060,108,725180,1012.3,87.7,none,15.8,14.4,14.5,26.1,19.6,42787,40674,2113,4.94,43562,41116,2446,5.61,42885,38649,4236,9.88,41696,37748,3948,9.47,41531,38207,3324,8,41984,38782,3202,7.63,41792,38772,3020,7.23,41255,38863,2392,5.8,41044,38908,2136,5.2,40512,38079,2433,6.01,10.6,11.6,11.6,0.9,39398,37231,2167,5.5,79.1,20,2,5.5,0.6,2.85,21.1,1.6,1.3,77.7,71.3,66,35164,0.5,0.6,0.1,3.4,1,27.1,11.2,72.9,89,64730,NA,43.2,50304,26199,34700,0,0.3,0,26582,2.34,85665,13.2,7.9,18.3,2,4.9,8.5,0.8,11,12.5,8.9,95.5,94.8
42041,Pennsylvania,Cumberland County,213674,235406,237029,239268,241200,243596,246244,247901,250066,5.4,5.4,20.7,15.6,17.4,40.5,50.9,90.9,3.2,1.85,0.2,0.05,3,1.98,NA,0,0.57,1.8,1.15,2.7,3.54,89.4,86.87,91.1,84.6,4.8,7.6,4.9,90.4,91.30000000000001,91.9,23.8,24,32.3,33.6,34.7,22134,10.1,21,22.1,80.5,87.6,99988,72.4,19.6,174600,93739,97919,2.31,2.38,30119,35071.01,1,60219,64116,65544,5741,116406,0.9,13988,19279,1.5,NA,2.4,NA,NA,22.5,3472636,3657759,3684912,16179,402745,832,2284049,545.46,431.6,none,6.5,7.9,7.8,12,10,123188,119168,4020,3.26,125832,120498,5334,4.24,124899,116621,8278,6.63,124446,115938,8508,6.84,124438,116524,7914,6.36,125779,117989,7790,6.19,125782,118596,7186,5.71,126113,120455,5658,4.49,128389,123266,5123,3.99,130153,124869,5284,4.06,6.1,7,5.6,0.6,129985,125031,4954,3.81,79.7,18.1,2.6,5.4,4.3,2.93,36.6,4,3.9,84.7,82.4,77,99804,2.4,1.6,0.7,4.4,2.6,29.7,4.6,70.3,92.3,90607,22.5,40.6,71269,35935,45252,0.1,1.2,0,37500,2.37,249328,6.9,4.7,9.3,2.7,3,5.5,0.4,6.1,7.3,9.2,87.7,85
42043,Pennsylvania,Dauphin County,251798,268100,269106,269940,271420,272219,273176,274121,275710,6.3,6.3,23.2,13.7,15.7,39.6,51.7,72.7,18,9.36,0.2,0.1,3.2,1.96,0,0.01,1.28,3.1,1.6,7,8.53,69.9,67.09,88.1,84.6,5.6,10.3,6,88.5,89.1,89.8,25.8,25.7,27.1,29.3,29.8,23736,8.3,20.7,22,78.1,85.8,120406,65.5,24.6,153100,107808,111489,2.42,2.39,27727,31429.29,1,52371,59958,57071,6866,142403,4.6,14099,19512,7.9,0.4,3.9,NA,NA,24.3,NA,6456618,3869515,15064,676791,691,5803841,525.05,510.6,partial,11.9,11.3,13.2,24.2,19.7,135823,130509,5314,3.91,138090,131631,6459,4.68,137073,126848,10225,7.46,140563,129288,11275,8.02,140465,129834,10631,7.57,141151,130682,10469,7.42,140471,130890,9581,6.82,139336,131892,7444,5.34,140983,134421,6562,4.65,142150,135382,6768,4.76,7.1,4.8,4.1,0.3,141982,135578,6404,4.51,77.5,16.5,2.2,6.2,4.4,3.03,30.8,19.5,9.2,81.7,74.9,75.6,112212,1.9,2.6,0.9,3.6,5.7,36.8,2.4,63.2,89.8,80556,22,39.7,60715,33232,41708,0.3,2.6,0,33639,2.39,275632,12.3,6.8,20.2,3.1,4.1,5.3,0.2,3.4,3.9,8.1,7
42045,Pennsylvania,Delaware County,550864,558979,559079,560782,561609,562913,563705,563995,564696,6.1,6,23.3,14.3,15.4,39,52.1,72.5,19.7,10.59,0.2,0.07,4.7,2.73,NA,0.01,0.57,2,1.16,3,3.57,71.1,67.96,88.3,88.9,8.5,10.9,5.2,90.5,92.4,92.7,24,24,34.7,36.8,37.7,39171,6.4,27.4,29,82.2,88.8,222902,71.8,23.7,232300,206542,204870,2.59,2.64,32067,36940.53,1,61876,67773,69839,12870,206780,-4.7,36484,47789,8.4,NA,5.5,NA,NA,28.4,19060350,4219965,6358447,11456,779477,363,6089156,183.84,3040.5,comprehensive,9.4,10.8,10.4,15.5,13.7,283132,271606,11526,4.07,287490,273179,14311,4.98,280088,258803,21285,7.6,286181,263281,22900,8,286902,264651,22251,7.76,289577,267287,22290,7.7,290490,270005,20485,7.05,290198,274167,16031,5.52,291513,277251,14262,4.89,294250,279941,14309,4.86,6.2,3,3.1,0.3,294762,281424,13338,4.53,77.9,16,2.5,6,5.7,3.24,39,21.6,3.8,86.1,80.9,81,207257,3.4,2.7,1.9,5.8,3,31.2,0.3,68.8,93.1,105826,29.7,39,74477,35628,47899,0.2,1.2,0,40026,2.62,564554,10,6.8,13.5,2.6,5,4.8,0.3,2.1,2,6,68.7,6
42049,Pennsylvania,Erie County,280843,280566,281288,281503,280647,279351,278111,276321,274541,6,5.7,22.7,14.6,16.3,39,50.8,88.2,7.2,3.57,0.2,0.13,1.1,0.81,NA,0.01,0.47,2.1,1.44,3.4,4.01,86.5,84.79,93.3,83.9,3.8,6.1,5.1,89,91.1,90.9,24.3,23.9,23.3,27,27.4,24117,9.2,18.6,19.3,76.4,85.1,119138,69.2,25,111300,108252,110377,2.46,2.4,22644,27020,1,43595,48820,48192,6552,114158,-6.7,13850,19610,3.2,0.3,NA,NA,1.2,23.5,6890810,1157206,3428421,12253,428110,586,2174397,799.15,351.1,partial,15.6,15.7,16.8,32.3,24.7,140590,133805,6785,4.83,141912,133934,7978,5.62,139893,127432,12461,8.91,136359,123672,12687,9.3,137284,126097,11187,8.15,137421,126706,10715,7.8,136002,125897,10105,7.43,134640,126306,8334,6.19,134748,127337,7411,5.5,133626,124927,8699,6.51,6.3,3.2,3.1,0.2,130755,123192,7563,5.78,78.5,17.4,2.5,5.6,1.7,2.96,27.9,7.2,4.2,81.2,74.2,74.2,110318,0.9,1.6,1,2.9,2.8,33.9,5.2,66.1,91.3,68976,NA,39.7,51529,26585,35867,0.3,1.2,0,28306,2.36,273835,16,8.5,23.1,3.2,5.1,4.6,0.1,2.3,2.2,9.1,86.5,84.2
42051,Pennsylvania,Fayette County,148644,136606,135984,135254,134586,134027,133290,132392,131504,5,5,20.3,18,19.6,44.6,50.9,93.3,4.6,1.99,0.1,0.02,0.3,0.1,NA,0.11,0.13,1.3,1.27,0.8,1.08,92.9,92.09,97.2,89.3,1,2.9,5.5,82.9,87.3,87.9,22.2,22.8,13.9,14.7,15.4,12655,9.1,23.8,26.3,67.9,75.9,62773,73,13.2,82500,55363,54043,2.43,2.38,19209,24031.51,1,34796,42056,41632,2746,37098,9,6193,8796,1.5,NA,NA,NA,NA,23.5,1161382,528140,1535518,10661,246895,240,1663346,790.34,172.8,none,19.2,17.5,18.8,31.2,30.2,65659,61917,3742,5.7,66718,62362,4356,6.53,66011,59957,6054,9.17,59532,53133,6399,10.75,59674,53676,5998,10.05,60256,54272,5984,9.93,59731,53986,5745,9.62,58474,53870,4604,7.87,58364,53985,4379,7.5,58453,53717,4736,8.1,6.6,2.3,2.4,0,57811,53806,4005,6.93,80.7,20.6,2.9,5.1,0.4,2.87,17.3,4.2,1.2,75.1,67.4,66.8,54837,0.4,0.3,0.3,2.2,1.4,25.6,10.1,74.4,88.4,64484,27.1,45,47364,25235,36573,0,0.5,0.1,27368,2.3,131302,17.3,10.8,27.2,2.4,6.4,4.7,0.1,1.7,2.2,8.7,92.5,91.8
42055,Pennsylvania,Franklin County,129313,149618,150952,151477,151855,152459,152903,153564,154234,6.6,5.9,23.9,16.5,18.5,41.3,51.1,92,3.1,1.97,0.2,0.1,0.9,0.5,NA,0.02,0.27,1.8,0.63,4.3,5.27,90.2,88.65,93.3,87.6,3.4,6.5,4.5,83.8,86.6,87.1,23.4,24.1,18.3,20.1,20.6,14406,10.9,23.3,24.4,74.7,82.6,63219,74.3,15.3,175000,58290,60102,2.46,2.51,25307,28919.12,1,51035,59474,58267,3107,47245,11.9,8602,10759,NA,NA,NA,NA,1.1,27,3244364,NA,1749971,12323,164527,570,1331830,772.22,193.7,partial,8.2,9.1,10.4,18.4,15.2,80752,78014,2738,3.39,82775,79218,3557,4.3,80943,74404,6539,8.08,75710,69255,6455,8.53,75527,69996,5531,7.32,76335,70982,5353,7.01,76619,71558,5061,6.61,76516,72353,4163,5.44,77850,73988,3862,4.96,77509,73517,3992,5.15,10.4,12.7,11.3,0.9,76656,73242,3414,4.45,77.5,19.2,2.7,6,0.8,3.02,21.6,3.7,5.6,80.5,76.7,70.5,60438,0.7,1.5,0.2,2.3,4.1,28.8,7.8,71.2,88.3,78332,NA,41.6,63379,31630,39674,0.3,0.6,0,31221,2.51,154147,9.3,6.8,14.8,2.1,4.6,9,1.3,10.2,11,10.3,92.4,88.1
42063,Pennsylvania,Indiana County,89605,88880,88608,88246,88195,87486,86867,85256,84953,5.1,4.8,19,15.7,17.6,39.7,50.3,94.9,2.7,1.16,0.1,0.1,0.9,0.54,NA,0.01,0.1,0.9,0.79,1.1,1.27,94.4,93.93,93.5,81.7,1.5,4.6,4.5,86.7,89,89.6,22.7,23.2,19.2,22.2,22.7,7874,7.9,23.1,23,69.7,79.1,38236,71.8,16.7,98200,34375,34030,2.44,2.37,20587,26181.01,0,40225,43171,46306,1982,27528,8.1,5018,6934,NA,NA,NA,NA,NA,20.2,NA,492295,1278987,14627,92360,88,783585,827.03,107.5,partial,18.6,20,16.6,25.9,18.9,45705,43578,2127,4.65,46969,44497,2472,5.26,47201,43681,3520,7.46,44078,40250,3828,8.68,44025,40571,3454,7.85,44757,41130,3627,8.1,44097,40686,3411,7.74,43208,40585,2623,6.07,41757,39117,2640,6.32,40229,37304,2925,7.27,9.8,23.3,14.8,0.4,39219,36896,2323,5.92,82,18.8,2.6,4.7,1,2.9,23,2.3,1.3,73.9,69.1,67.6,33246,0.7,0.5,0.1,3.3,0.7,28.8,10.7,71.2,90,66492,24,40.2,49320,23177,35089,0.1,0.3,0,26509,2.38,85032,16.3,8.5,19.8,1.6,5.7,7.6,0.4,12.5,16.6,7.5,94.7,93.9
42065,Pennsylvania,Jefferson County,45932,45200,44899,44775,44814,44477,44240,43955,43804,5.7,5.6,21.6,18.3,19.7,43.9,50.7,98.3,0.3,0.3,0.2,0.12,0.2,0.13,NA,0.02,0.01,0.8,0.4,0.6,0.83,97.9,97.33,95.9,91.2,0.5,2.8,6.5,86.9,89.1,89.2,23,23.3,12,14.8,15.8,4108,9.4,20.3,23.1,69.7,77.2,22434,76.8,11.5,80100,18236,18452,2.47,2.36,20305,23961.44,0,38406,42670,45342,1159,13489,-1.3,3091,4071,NA,NA,NA,NA,NA,24.8,953515,235389,477351,10594,32316,81,420892,652.43,69.3,none,13.7,13.3,14.2,29.4,20.2,23094,22027,1067,4.62,23301,22009,1292,5.54,22837,20692,2145,9.39,21606,19429,2177,10.08,21791,19889,1902,8.73,21756,19946,1810,8.32,21099,19365,1734,8.22,20855,19519,1336,6.41,20970,19690,1280,6.1,20707,19290,1417,6.84,8.6,14.9,10.2,0.1,20572,19418,1154,5.61,78.8,20.6,2.7,5.7,0.3,2.85,15.9,0.5,0.9,73.9,68.4,64,18427,0.4,0.3,0.1,2.9,0.8,25.7,7.2,74.3,89.3,60150,NA,43.9,47603,26079,33963,0.1,0.2,0,25509,2.34,43846,15.1,9.3,23.2,1.1,3.4,7.9,0.2,11.9,12.9,8.6,97.8,97.2
42069,Pennsylvania,Lackawanna County,213295,214437,214359,214175,213675,212710,211781,210872,210761,5.4,5.3,20.5,17.7,18.9,42.2,51.9,92,2.5,1.44,0.2,0.04,1.7,1.27,NA,0.01,0.3,1.5,0.84,5,6.69,89.7,86.65,90.4,87.6,4,7.4,4.2,87.5,90,90.6,26.3,26.1,23.7,26.1,27,19598,8.5,19.7,20.9,73.3,81.6,96832,66.1,29.4,137100,86318,85907,2.37,2.37,24152,27595.78,1,43673,47398,48380,5415,98621,5.6,11013,15566,0.7,NA,NA,NA,NA,23.5,NA,3127587,3178821,15185,360487,265,2436983,459.08,467.1,partial,13.2,14.1,15.4,22,22.2,106909,101792,5117,4.79,108526,102231,6295,5.8,107192,98396,8796,8.21,106990,97405,9585,8.96,107274,97814,9460,8.82,107640,98121,9519,8.84,107645,98710,8935,8.3,106718,99692,7026,6.58,106408,100205,6203,5.83,106792,100755,6037,5.65,5.6,2.3,2.5,0.1,106305,100852,5453,5.13,79.6,19.6,3,5.3,2.8,2.94,28.3,2.8,7.5,79.7,73.2,73.4,87161,1.1,2.5,0.4,4,5.5,35.7,2.3,64.3,91,71187,21.7,42.1,52821,27406,38163,0.1,0.9,0,29899,2.32,210652,14.7,8.1,21.2,2.3,4.3,4.5,0.5,2,1.8,7.9,91.1,85.2
